concepto,descripcion
intersección sobre la unión,"La detección de objetos es una tecnología informática relacionada con la visión por computadora y el procesamiento de imágenes que se ocupa de la detección de instancias de objetos semánticos de una determinada clase (como humanos, edificios o automóviles) en imágenes y videos digitales. Los dominios de detección de objetos bien investigados incluyen detección de cara y detección de peatones. La detección de objetos tiene aplicaciones en muchas áreas de visión por computadora, incluida la recuperación de imágenes y la videovigilancia."
iou,"La Luddy School of Informatics, Computing and Engineering es una unidad académica de la Universidad de Indiana ubicada en el campus de la Universidad de Indiana Bloomington (IUB) y en el campus de Indianapolis de la Universidad de Indiana (IUI). En el campus de Bloomington, la escuela está formada por el Departamento de Informática, el Departamento de Ciencias de la Computación, el Departamento de Información y Biblioteca y el Departamento de Ingeniería de Sistemas Inteligentes. En el campus de Indianapolis, la escuela consiste en el Departamento de Computación Centrada en Humanos, el Departamento de Informática de BioHealth y el Departamento de Biblioteca y Ciencias de la Información."
matriz de elementos,"En Matemáticas, Ciencias de la computación y teoría de grafos, una matriz de distancias es una Matriz cuadrada cuyos elementos representan las Distancias entre los puntos, tomados por pares, de un conjunto. Dependiendo de su aplicación, la distancia usada para definir esta matriz puede o no ser una métrica. Se trata, por lo tanto, de una matriz simétrica de tamaño N×N{displaystyle Ntimes N} (dado un conjunto de N{displaystyle N} puntos en el Espacio euclídeo) conteniendo números reales no negativos como elementos.  El número N de pares de puntos, (N-1)/2, es el número de elementos independientes en la matriz de distancias."
máquinas de vectores soporte de kernel,"En el aprendizaje automático, las máquinas de vectores de soporte (SVMS, también de soporte de redes de vectores) se supervisan modelos máximos de margen con algoritmos de aprendizaje asociados que analizan datos para el análisis de clasificación y regresión. Desarrollados en AT&T Bell Laboratories, los SVM son uno de los modelos más estudiados, basados ​​en marcos de aprendizaje estadístico de la teoría de VC propuesta por Vapnik (1982, 1995) y Chervonenkis (1974)."
puntos clave,"El aprendizaje automático (AA); también llamado automatizado, computacional, de máquinas, o maquinal​ (del inglés machine learning, ML), es el subcampo de las ciencias de la computación y una rama de  la inteligencia artificial, cuyo objetivo es desarrollar técnicas que permitan que las computadoras aprendan. Se dice que un agente aprende cuando su desempeño mejora con la experiencia y mediante el uso de datos; es decir, cuando la habilidad no estaba presente en su genotipo o rasgos de nacimiento.​ ""En el aprendizaje de máquinas un computador observa datos, construye un modelo basado en esos datos y utiliza ese modelo a la vez como una hipótesis acerca del mundo y una pieza de software que puede resolver problemas"".​"
validación cruzada de k-fold,"La validación cruzada, a veces llamada estimación de rotación o pruebas fuera de la muestra, es cualquiera de las varias técnicas similares de validación de modelos para evaluar cómo los resultados de un análisis estadístico se generalizarán en un conjunto de datos independiente. La validación de cruce incluye modernos y métodos de división de muestras que usan diferentes porciones de los datos para probar y capacitar un modelo en diferentes iteraciones. A menudo se usa en entornos donde el objetivo es la predicción, y uno quiere estimar cuán exactamente funcionará un modelo predictivo en la práctica. También se puede utilizar para evaluar la calidad de un modelo ajustado y la estabilidad de sus parámetros."
regularización l0,"En matemáticas, estadísticas, finanzas y ciencias de la computación, particularmente en el aprendizaje automático y los problemas inversos, la regularización es un proceso que convierte la respuesta de un problema a uno más simple. A menudo se usa para resolver problemas mal plenados o para evitar el sobreajuste."
regularización l1,"En matemáticas, estadísticas, finanzas y ciencias de la computación, particularmente en el aprendizaje automático y los problemas inversos, la regularización es un proceso que convierte la respuesta de un problema a uno más simple. A menudo se usa para resolver problemas mal plenados o para evitar el sobreajuste."
ejemplo etiquetado,"El aprendizaje automático (AA); también llamado automatizado, computacional, de máquinas, o maquinal​ (del inglés machine learning, ML), es el subcampo de las ciencias de la computación y una rama de  la inteligencia artificial, cuyo objetivo es desarrollar técnicas que permitan que las computadoras aprendan. Se dice que un agente aprende cuando su desempeño mejora con la experiencia y mediante el uso de datos; es decir, cuando la habilidad no estaba presente en su genotipo o rasgos de nacimiento.​ ""En el aprendizaje de máquinas un computador observa datos, construye un modelo basado en esos datos y utiliza ese modelo a la vez como una hipótesis acerca del mundo y una pieza de software que puede resolver problemas"".​"
filtración de etiquetas,"Twitter,[nota 1]​ (pronunciación en inglés: /ˈtwɪt.ə(ɹ)/ (escucharⓘ))​oficialmente conocida como X desde julio de 2023,[nota 2]​ (estilizado como 𝕏)​es una aplicación de microblogueo que pertenece a la empresa X Corp."
lamda,"Lambda Architecture es una arquitectura de procesamiento de datos diseñada para manejar cantidades masivas de datos aprovechando los métodos de procesamiento por lotes y flujo. Este enfoque de la arquitectura intenta equilibrar la latencia, el rendimiento y la tolerancia a las fallas mediante el uso del procesamiento por lotes para proporcionar vistas integrales y precisas de los datos por lotes, al tiempo que utiliza simultáneamente el procesamiento de flujo en tiempo real para proporcionar vistas de los datos en línea. Las dos salidas de vista se pueden unir antes de la presentación. El aumento de la arquitectura Lambda se correlaciona con el crecimiento de Big Data, Analytics en tiempo real y el impulso para mitigar las latencias de MAP-Reduce."
puntos de referencia,"El aprendizaje automático (AA); también llamado automatizado, computacional, de máquinas, o maquinal​ (del inglés machine learning, ML), es el subcampo de las ciencias de la computación y una rama de  la inteligencia artificial, cuyo objetivo es desarrollar técnicas que permitan que las computadoras aprendan. Se dice que un agente aprende cuando su desempeño mejora con la experiencia y mediante el uso de datos; es decir, cuando la habilidad no estaba presente en su genotipo o rasgos de nacimiento.​ ""En el aprendizaje de máquinas un computador observa datos, construye un modelo basado en esos datos y utiliza ese modelo a la vez como una hipótesis acerca del mundo y una pieza de software que puede resolver problemas"".​"
