concepto,descripcion
logs de navegación,"En estadística, la regresión lineal o ajuste lineal es un modelo matemático usado para aproximar la relación de dependencia entre una variable dependiente Y{displaystyle Y}, m{displaystyle m} variables independientes Xi X_{i}} con m∈Z+ min mathbb {Z} ^{+}} y un término aleatorio ε{displaystyle varepsilon }. Este método es aplicable en muchas situaciones en las que se estudia la relación entre dos o más variables o predecir un comportamiento, algunas incluso sin relación con la tecnología. En caso de que no se pueda aplicar un modelo de regresión a un estudio, se dice que no hay correlación entre las variables estudiadas. Este modelo puede ser expresado como:"
motor de recomendación,"El Sesgo algorítmico ocurre cuando un sistema informático refleja los valores de los humanos que están implicados en la codificación y recolección de datos usados para entrenar el algoritmo. El sesgo algorítmico se puede encontrar en todos lados, como en los resultados de los motores de búsqueda o en las redes sociales y pueden tener un gran impacto en temas como la privacidad o agravar sesgos sociales como los existentes respecto a razas, género, sexualidad o etnias. El estudio del sesgo algorítmico esta enfocado sobre todo en algoritmos que reflejan ""discriminación sistemática e injusta"". Este tipo de sesgos han empezado a ser tenidos en cuenta en marcos legales recientemente, como el Control de Protección de Datos Generales de la Unión Europea en 2018."
variable numérica,"Una variable estadística es una herramienta o instrumento matemático que representa una característica de estudio de un objeto observable que puede cambiar  y cuyo cambio o variación  es representado por un ""número"" (un número es un concepto abstracto que se emplea para contar -cantidades-, medir -magnitudes- y etiquetar). "
gobierno del dato,La gobernanza de datos es un término que se utiliza tanto a nivel macro como micro. El primero es un concepto político y forma parte de las relaciones internacionales y la gobernanza de Internet; este último es un concepto de gestión de datos y forma parte del gobierno corporativo de datos.
nearest neighbor,El k-NN (o veí més proper) és un classificador (model discriminador) d'aprenentatge supervisat no paramètric usat en classificació estadística i anàlisi de la regressió.
atributo,"En el aprendizaje automático y el reconocimiento de patrones, una característica es una propiedad individual medible o característica de un conjunto de datos. Elegir características informativas, discriminatorias e independientes es crucial para producir algoritmos efectivos para las tareas de reconocimiento, clasificación y regresión de patrones. Las características suelen ser numéricas, pero otros tipos, como cadenas y gráficos, se usan en el reconocimiento de patrones sintácticos, después de algún paso de preprocesamiento, como la codificación única. El concepto de ""características"" está relacionado con el de las variables explicativas utilizadas en técnicas estadísticas como la regresión lineal."
dato no etiquetado,"En ciencias de la computación, el aprendizaje semisupervisado (SSL)​ es una clase de técnicas de aprendizaje automático que utiliza datos de entrenamiento tanto etiquetados como no etiquetados: normalmente una pequeña cantidad de datos etiquetados junto a una gran cantidad de datos no etiquetados. El aprendizaje semisupervisado se encuentra entre el aprendizaje no supervisado (sin datos de entrenamiento etiquetados) y el aprendizaje supervisado (con todos los datos de entrenamiento etiquetados). Los investigadores del campo del aprendizaje automático han descubierto que los datos no etiquetados, cuando se utilizan junto a una pequeña cantidad de datos etiquetados, pueden mejorar de forma considerable la exactitud del aprendizaje. La adquisición de datos etiquetados para resolver un problema suele requerir un agente humano capacitado para clasificar de forma manual los ejemplos de entrenamiento. El coste asociado al proceso de etiquetado puede hacer que un conjunto de entrenamiento totalmente etiquetado sea inviable, mientras que la adquisición de datos sin etiquetar es relativamente poco costoso. En estos casos, el aprendizaje semisupervisado puede ser muy útil."
etiqueta o dato etiquetado,"La teoría de la reacción social, teoría del etiquetado, teoría del etiquetamiento o labeling (en inglés labeling theory) es una de las teorías microsociológicas de la sociología de la desviación desarrollada durante la década de 1960 y 1970 que postula, en relación con las teorías de las relaciones sociales, que la desviación no es inherente al acto concreto sino que es una manifestación de la mayoría social que califica o etiqueta negativamente los comportamientos de las minorías al desviarse de las normas culturales estandarizadas de la mayoría. La teoría ha prestado especial atención a distintos colectivos o minorías que habitualmente sufren el etiquetado o calificación negativa por su desviación de la norma mayoritaria social (grupos de personas en situación de discapacidad física, psíquica o mental, criminales, homosexuales, niños, ancianos, minorías raciales, etc.)."
métodos basados en árboles,"Aprendizaje basado en árboles de decisión utiliza un árbol de decisión como un modelo predictivo que mapea observaciones sobre un artículo a conclusiones sobre el valor objetivo del artículo. Es uno de los enfoques de modelado predictivo utilizadas en estadísticas, minería de datos y aprendizaje automático. Los modelos de árbol, donde la variable de destino puede tomar un conjunto finito de valores se denominan árboles de clasificación. En estas estructuras de árbol, las hojas representan etiquetas de clase y las ramas representan las conjunciones de características que conducen a esas etiquetas de clase. Los árboles de decisión, donde la variable de destino puede tomar valores continuos (por lo general números reales) se llaman árboles de regresión. Los árboles de decisión se encuentran entre los algoritmos populares debido a su simplicidad."
modelo o “hipótesis”,Un modelo probabilístico o estadístico es la forma que pueden tomar un conjunto de datos obtenidos de muestreos de otros datos con comportamiento que se supone aleatorio.
variable respuesta,"En estadística, la regresión lineal o ajuste lineal es un modelo matemático usado para aproximar la relación de dependencia entre una variable dependiente Y{displaystyle Y}, m{displaystyle m} variables independientes Xi X_{i}} con m∈Z+ min mathbb {Z} ^{+}} y un término aleatorio ε{displaystyle varepsilon }. Este método es aplicable en muchas situaciones en las que se estudia la relación entre dos o más variables o predecir un comportamiento, algunas incluso sin relación con la tecnología. En caso de que no se pueda aplicar un modelo de regresión a un estudio, se dice que no hay correlación entre las variables estudiadas. Este modelo puede ser expresado como:"
